"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-02-24,"BC","Interior","Kootenay Boundary",1,0.71
2021-02-24,"BC","Interior","Okanagan",9,10.71
2021-02-24,"BC","Interior","Thompson Cariboo Shuswap",14,19.71
2021-02-24,"BC","Northern","All",40,38.14
2021-02-24,"BC","Northern","Northeast",3,7.43
2021-02-24,"BC","Northern","Northern Interior",8,7.57
2021-02-24,"BC","Northern","Northwest",29,23.14
2021-02-24,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-24,"BC","Vancouver Coastal","All",137,125.71
2021-02-24,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",19,22.71
2021-02-24,"BC","Vancouver Coastal","Richmond",15,11.29
2021-02-24,"BC","Vancouver Coastal","Unknown",0,0.86
2021-02-24,"BC","Vancouver Coastal","Vancouver",103,90.86
2021-02-24,"BC","Vancouver Island","All",43,33.71
2021-02-24,"BC","Vancouver Island","Central Vancouver Island",25,20.57
2021-02-24,"BC","Vancouver Island","North Vancouver Island",9,8.29
2021-02-24,"BC","Vancouver Island","South Vancouver Island",9,4.86
2021-02-24,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-02-25,"BC","All","All",593,512.71
2021-02-25,"BC","Fraser","All",346,282.14
2021-02-25,"BC","Fraser","Fraser East",56,46.43
2021-02-25,"BC","Fraser","Fraser North",139,108.14
2021-02-25,"BC","Fraser","Fraser South",151,127.43
2021-02-25,"BC","Fraser","Unknown",0,0.14
2021-02-25,"BC","Interior","All",50,30.71
2021-02-25,"BC","Interior","East Kootenay",1,1.14
2021-02-25,"BC","Interior","Kootenay Boundary",1,0.86
2021-02-25,"BC","Interior","Okanagan",8,9.29
2021-02-25,"BC","Interior","Thompson Cariboo Shuswap",40,19.43
2021-02-25,"BC","Northern","All",31,37.29
2021-02-25,"BC","Northern","Northeast",12,7.57
2021-02-25,"BC","Northern","Northern Interior",3,7.57
2021-02-25,"BC","Northern","Northwest",16,22.14
2021-02-25,"BC","Northern","Unknown HSDA - Northern HA",0,0
